"acfrequency";"number";"T";"r Pin1";"i Pin1"
1e+08;1;-55;0.0298806;1.54272e-05
1.198e+08;1;-55;0.0300088;3.23532e-06
1.396e+08;1;-55;0.0301602;-1.73936e-05
1.594e+08;1;-55;0.0303347;-4.80162e-05
1.792e+08;1;-55;0.0305321;-9.02632e-05
1.99e+08;1;-55;0.0307524;-0.000145849
2.188e+08;1;-55;0.0309954;-0.000216583
2.386e+08;1;-55;0.0312609;-0.000304375
2.584e+08;1;-55;0.0315486;-0.000411248
2.782e+08;1;-55;0.031858;-0.000539341
2.98e+08;1;-55;0.0321886;-0.000690919
3.178e+08;1;-55;0.0325396;-0.000868371
3.376e+08;1;-55;0.0329103;-0.00107421
3.574e+08;1;-55;0.0332993;-0.00131108
3.772e+08;1;-55;0.0337054;-0.00158173
3.97e+08;1;-55;0.034127;-0.00188901
4.168e+08;1;-55;0.0345618;-0.00223587
4.366e+08;1;-55;0.0350077;-0.00262528
4.564e+08;1;-55;0.0354616;-0.00306024
4.762e+08;1;-55;0.0359204;-0.00354371
4.96e+08;1;-55;0.0363802;-0.00407854
5.158e+08;1;-55;0.0368366;-0.00466742
5.356e+08;1;-55;0.0372845;-0.00531275
5.554e+08;1;-55;0.0377186;-0.00601656
5.752e+08;1;-55;0.0381325;-0.0067804
5.95e+08;1;-55;0.0385196;-0.00760517
6.148e+08;1;-55;0.0388725;-0.00849101
6.346e+08;1;-55;0.0391835;-0.00943714
6.544e+08;1;-55;0.0394446;-0.0104417
6.742e+08;1;-55;0.0396474;-0.0115018
6.94e+08;1;-55;0.0397838;-0.012613
7.138e+08;1;-55;0.0398458;-0.0137696
7.336e+08;1;-55;0.039826;-0.0149647
7.534e+08;1;-55;0.0397175;-0.0161898
7.732e+08;1;-55;0.0395149;-0.0174351
7.93e+08;1;-55;0.039214;-0.01869
8.128e+08;1;-55;0.0388119;-0.0199427
8.326e+08;1;-55;0.0383079;-0.0211812
8.524e+08;1;-55;0.0377032;-0.0223928
8.722e+08;1;-55;0.0370006;-0.0235655
8.92e+08;1;-55;0.0362053;-0.0246874
9.118e+08;1;-55;0.0353239;-0.0257479
9.316e+08;1;-55;0.0343648;-0.0267373
9.514e+08;1;-55;0.0333376;-0.0276477
9.712e+08;1;-55;0.0322528;-0.0284728
9.91e+08;1;-55;0.0311217;-0.0292081
1.0108e+09;1;-55;0.0299555;-0.0298509
1.0306e+09;1;-55;0.0287655;-0.0304003
1.0504e+09;1;-55;0.0275625;-0.0308572
1.0702e+09;1;-55;0.0263567;-0.0312235
1.09e+09;1;-55;0.0251573;-0.031503
1.1098e+09;1;-55;0.0239726;-0.0316998
1.1296e+09;1;-55;0.0228097;-0.0318193
1.1494e+09;1;-55;0.0216748;-0.0318672
1.1692e+09;1;-55;0.0205727;-0.0318496
1.189e+09;1;-55;0.0195074;-0.0317726
1.2088e+09;1;-55;0.0184818;-0.0316424
1.2286e+09;1;-55;0.017498;-0.0314651
1.2484e+09;1;-55;0.0165573;-0.0312464
1.2682e+09;1;-55;0.0156604;-0.0309919
1.288e+09;1;-55;0.0148073;-0.0307066
1.3078e+09;1;-55;0.0139976;-0.0303953
1.3276e+09;1;-55;0.0132304;-0.0300623
1.3474e+09;1;-55;0.0125048;-0.0297115
1.3672e+09;1;-55;0.0118194;-0.0293465
1.387e+09;1;-55;0.0111727;-0.0289703
1.4068e+09;1;-55;0.0105631;-0.0285858
1.4266e+09;1;-55;0.00998889;-0.0281954
1.4464e+09;1;-55;0.00944835;-0.0278013
1.4662e+09;1;-55;0.00893974;-0.0274053
1.486e+09;1;-55;0.00846136;-0.027009
1.5058e+09;1;-55;0.00801151;-0.0266138
1.5256e+09;1;-55;0.00758856;-0.026221
1.5454e+09;1;-55;0.00719093;-0.0258314
1.5652e+09;1;-55;0.00681708;-0.0254459
1.585e+09;1;-55;0.00646557;-0.0250653
1.6048e+09;1;-55;0.00613501;-0.02469
1.6246e+09;1;-55;0.0058241;-0.0243206
1.6444e+09;1;-55;0.0055316;-0.0239574
1.6642e+09;1;-55;0.00525634;-0.0236007
