"acfrequency";"r Z";"i Z"
1e+09;16.0415;16.5478
1.00231e+09;15.999;16.6271
1.00462e+09;15.9564;16.7067
1.00693e+09;15.9138;16.7866
1.00925e+09;15.8713;16.8668
1.01158e+09;15.8287;16.9473
1.01391e+09;15.7861;17.028
1.01625e+09;15.7436;17.1091
1.01859e+09;15.701;17.1904
1.02094e+09;15.6584;17.272
1.02329e+09;15.6158;17.3539
1.02565e+09;15.5732;17.4361
1.02802e+09;15.5306;17.5186
1.03039e+09;15.488;17.6014
1.03276e+09;15.4454;17.6845
1.03514e+09;15.4028;17.7678
1.03753e+09;15.3602;17.8515
1.03992e+09;15.3177;17.9355
1.04232e+09;15.2751;18.0197
1.04472e+09;15.2325;18.1042
1.04713e+09;15.1899;18.1891
1.04954e+09;15.1473;18.2742
1.05196e+09;15.1047;18.3596
1.05439e+09;15.0621;18.4453
1.05682e+09;15.0196;18.5314
1.05925e+09;14.977;18.6177
1.0617e+09;14.9344;18.7043
1.06414e+09;14.8919;18.7912
1.0666e+09;14.8493;18.8784
1.06905e+09;14.8067;18.9659
1.07152e+09;14.7642;19.0537
1.07399e+09;14.7217;19.1418
1.07647e+09;14.6791;19.2302
1.07895e+09;14.6366;19.3189
1.08143e+09;14.5941;19.4079
1.08393e+09;14.5516;19.4972
1.08643e+09;14.5091;19.5868
1.08893e+09;14.4666;19.6767
1.09144e+09;14.4242;19.7669
1.09396e+09;14.3817;19.8574
1.09648e+09;14.3392;19.9482
1.09901e+09;14.2968;20.0394
1.10154e+09;14.2544;20.1308
1.10408e+09;14.212;20.2225
1.10662e+09;14.1696;20.3145
1.10917e+09;14.1272;20.4069
1.11173e+09;14.0848;20.4995
1.11429e+09;14.0425;20.5925
1.11686e+09;14.0001;20.6857
1.11944e+09;13.9578;20.7793
1.12202e+09;13.9155;20.8731
1.1246e+09;13.8732;20.9673
1.1272e+09;13.8309;21.0618
1.1298e+09;13.7886;21.1566
1.1324e+09;13.7464;21.2517
1.13501e+09;13.7042;21.3471
1.13763e+09;13.662;21.4428
1.14025e+09;13.6198;21.5388
1.14288e+09;13.5776;21.6352
1.14551e+09;13.5355;21.7318
1.14815e+09;13.4933;21.8288
1.1508e+09;13.4512;21.9261
1.15345e+09;13.4092;22.0236
1.15611e+09;13.3671;22.1215
1.15878e+09;13.3251;22.2198
1.16145e+09;13.283;22.3183
1.16413e+09;13.2411;22.4171
1.16681e+09;13.1991;22.5163
1.1695e+09;13.1571;22.6157
1.1722e+09;13.1152;22.7155
1.1749e+09;13.0733;22.8156
1.17761e+09;13.0315;22.916
1.18032e+09;12.9896;23.0167
1.18304e+09;12.9478;23.1178
1.18577e+09;12.906;23.2191
1.1885e+09;12.8643;23.3208
1.19124e+09;12.8225;23.4228
1.19399e+09;12.7808;23.5251
1.19674e+09;12.7391;23.6277
1.1995e+09;12.6975;23.7307
1.20226e+09;12.6559;23.8339
1.20504e+09;12.6143;23.9375
1.20781e+09;12.5727;24.0414
1.2106e+09;12.5312;24.1456
1.21339e+09;12.4897;24.2502
1.21619e+09;12.4482;24.3551
1.21899e+09;12.4068;24.4602
1.2218e+09;12.3654;24.5657
1.22462e+09;12.3241;24.6716
1.22744e+09;12.2827;24.7777
1.23027e+09;12.2414;24.8842
1.2331e+09;12.2002;24.991
1.23595e+09;12.1589;25.0981
1.2388e+09;12.1177;25.2055
1.24165e+09;12.0766;25.3133
1.24451e+09;12.0355;25.4214
1.24738e+09;11.9944;25.5298
