"acfrequency";"r Ganho";"i Ganho"
1e+06;1;-0.000983189
1.00231e+06;1;-0.000985456
1.00462e+06;1;-0.000987728
1.00693e+06;1;-0.000990005
1.00925e+06;1;-0.000992287
1.01158e+06;1;-0.000994574
1.01391e+06;1;-0.000996867
1.01625e+06;1;-0.000999165
1.01859e+06;1;-0.00100147
1.02094e+06;1;-0.00100378
1.02329e+06;1;-0.00100609
1.02565e+06;1;-0.00100841
1.02802e+06;1;-0.00101073
1.03039e+06;1;-0.00101306
1.03276e+06;1;-0.0010154
1.03514e+06;1;-0.00101774
1.03753e+06;1;-0.00102009
1.03992e+06;1;-0.00102244
1.04232e+06;1;-0.0010248
1.04472e+06;1;-0.00102716
1.04713e+06;1;-0.00102953
1.04954e+06;1;-0.0010319
1.05196e+06;1;-0.00103428
1.05439e+06;1;-0.00103666
1.05682e+06;1;-0.00103905
1.05925e+06;1;-0.00104145
1.0617e+06;1;-0.00104385
1.06414e+06;1;-0.00104625
1.0666e+06;1;-0.00104867
1.06905e+06;1;-0.00105108
1.07152e+06;1;-0.00105351
1.07399e+06;1;-0.00105594
1.07647e+06;1;-0.00105837
1.07895e+06;1;-0.00106081
1.08143e+06;1;-0.00106325
1.08393e+06;1;-0.00106571
1.08643e+06;1;-0.00106816
1.08893e+06;1;-0.00107062
1.09144e+06;1;-0.00107309
1.09396e+06;1;-0.00107557
1.09648e+06;1;-0.00107805
1.09901e+06;1;-0.00108053
1.10154e+06;1;-0.00108302
1.10408e+06;1;-0.00108552
1.10662e+06;1;-0.00108802
1.10917e+06;1;-0.00109053
1.11173e+06;1;-0.00109304
1.11429e+06;1;-0.00109556
1.11686e+06;1;-0.00109809
1.11944e+06;1;-0.00110062
1.12202e+06;1;-0.00110316
1.1246e+06;1;-0.0011057
1.1272e+06;1;-0.00110825
1.1298e+06;1;-0.0011108
1.1324e+06;1;-0.00111336
1.13501e+06;1;-0.00111593
1.13763e+06;1;-0.0011185
1.14025e+06;1;-0.00112108
1.14288e+06;1;-0.00112367
1.14551e+06;1;-0.00112626
1.14815e+06;1;-0.00112885
1.1508e+06;1;-0.00113146
1.15345e+06;1;-0.00113406
1.15611e+06;1;-0.00113668
1.15878e+06;1;-0.0011393
1.16145e+06;1;-0.00114192
1.16413e+06;1;-0.00114456
1.16681e+06;1;-0.0011472
1.1695e+06;1;-0.00114984
1.1722e+06;1;-0.00115249
1.1749e+06;1;-0.00115515
1.17761e+06;1;-0.00115781
1.18032e+06;1;-0.00116048
1.18304e+06;1;-0.00116315
1.18577e+06;1;-0.00116584
1.1885e+06;1;-0.00116852
1.19124e+06;1;-0.00117122
1.19399e+06;1;-0.00117392
1.19674e+06;1;-0.00117662
1.1995e+06;1;-0.00117934
1.20226e+06;1;-0.00118205
1.20504e+06;1;-0.00118478
1.20781e+06;1;-0.00118751
1.2106e+06;1;-0.00119025
1.21339e+06;1;-0.00119299
1.21619e+06;1;-0.00119574
1.21899e+06;1;-0.0011985
1.2218e+06;1;-0.00120126
1.22462e+06;1;-0.00120403
1.22744e+06;1;-0.00120681
1.23027e+06;1;-0.00120959
1.2331e+06;1;-0.00121238
1.23595e+06;1;-0.00121517
1.2388e+06;1;-0.00121797
1.24165e+06;1;-0.00122078
1.24451e+06;1;-0.00122359
1.24738e+06;1;-0.00122641
1.25026e+06;1;-0.00122924
1.25314e+06;1;-0.00123208
1.25603e+06;1;-0.00123492
1.25893e+06;1;-0.00123776
1.26183e+06;1;-0.00124062
1.26474e+06;1;-0.00124348
1.26765e+06;1;-0.00124634
1.27057e+06;1;-0.00124922
1.2735e+06;1;-0.0012521
1.27644e+06;1;-0.00125498
1.27938e+06;1;-0.00125787
1.28233e+06;1;-0.00126077
1.28529e+06;1;-0.00126368
1.28825e+06;1;-0.00126659
1.29122e+06;1;-0.00126951
1.2942e+06;1;-0.00127244
1.29718e+06;1;-0.00127537
1.30017e+06;1;-0.00127831
1.30317e+06;1;-0.00128126
1.30617e+06;1;-0.00128421
1.30918e+06;1;-0.00128717
1.3122e+06;1;-0.00129014
1.31522e+06;1;-0.00129312
1.31826e+06;1;-0.0012961
1.3213e+06;1;-0.00129908
1.32434e+06;1;-0.00130208
1.32739e+06;1;-0.00130508
1.33045e+06;1;-0.00130809
1.33352e+06;1;-0.00131111
1.3366e+06;1;-0.00131413
1.33968e+06;1;-0.00131716
1.34276e+06;1;-0.00132019
