"acfrequency";"number";"r tang";"i tang"
1e+09;1;0.0115595;0
1.00231e+09;1;0.0115891;0
1.00462e+09;1;0.0116188;0
1.00693e+09;1;0.0116485;0
1.00925e+09;1;0.0116784;0
1.01158e+09;1;0.0117083;0
1.01391e+09;1;0.0117383;0
1.01625e+09;1;0.0117685;0
1.01859e+09;1;0.0117987;0
1.02094e+09;1;0.011829;0
1.02329e+09;1;0.0118594;0
1.02565e+09;1;0.0118899;0
1.02802e+09;1;0.0119205;0
1.03039e+09;1;0.0119512;0
1.03276e+09;1;0.0119819;0
1.03514e+09;1;0.0120128;0
1.03753e+09;1;0.0120438;0
1.03992e+09;1;0.0120748;0
1.04232e+09;1;0.012106;0
1.04472e+09;1;0.0121373;0
1.04713e+09;1;0.0121686;0
1.04954e+09;1;0.0122001;0
1.05196e+09;1;0.0122316;0
1.05439e+09;1;0.0122633;0
1.05682e+09;1;0.012295;0
1.05925e+09;1;0.0123269;0
1.0617e+09;1;0.0123588;0
1.06414e+09;1;0.0123909;0
1.0666e+09;1;0.012423;0
1.06905e+09;1;0.0124553;0
1.07152e+09;1;0.0124876;0
1.07399e+09;1;0.0125201;0
1.07647e+09;1;0.0125526;0
1.07895e+09;1;0.0125853;0
1.08143e+09;1;0.012618;0
1.08393e+09;1;0.0126509;0
1.08643e+09;1;0.0126839;0
1.08893e+09;1;0.012717;0
1.09144e+09;1;0.0127501;0
1.09396e+09;1;0.0127834;0
1.09648e+09;1;0.0128168;0
1.09901e+09;1;0.0128503;0
1.10154e+09;1;0.0128839;0
1.10408e+09;1;0.0129176;0
1.10662e+09;1;0.0129514;0
1.10917e+09;1;0.0129854;0
1.11173e+09;1;0.0130194;0
1.11429e+09;1;0.0130536;0
1.11686e+09;1;0.0130878;0
1.11944e+09;1;0.0131222;0
1.12202e+09;1;0.0131567;0
1.1246e+09;1;0.0131913;0
1.1272e+09;1;0.013226;0
1.1298e+09;1;0.0132608;0
1.1324e+09;1;0.0132957;0
1.13501e+09;1;0.0133307;0
1.13763e+09;1;0.0133659;0
1.14025e+09;1;0.0134012;0
1.14288e+09;1;0.0134365;0
1.14551e+09;1;0.0134721;0
1.14815e+09;1;0.0135077;0
1.1508e+09;1;0.0135434;0
1.15345e+09;1;0.0135793;0
1.15611e+09;1;0.0136152;0
1.15878e+09;1;0.0136513;0
1.16145e+09;1;0.0136875;0
1.16413e+09;1;0.0137238;0
1.16681e+09;1;0.0137603;0
1.1695e+09;1;0.0137969;0
1.1722e+09;1;0.0138336;0
1.1749e+09;1;0.0138704;0
1.17761e+09;1;0.0139073;0
1.18032e+09;1;0.0139444;0
1.18304e+09;1;0.0139815;0
1.18577e+09;1;0.0140188;0
1.1885e+09;1;0.0140563;0
1.19124e+09;1;0.0140938;0
1.19399e+09;1;0.0141315;0
1.19674e+09;1;0.0141693;0
1.1995e+09;1;0.0142073;0
1.20226e+09;1;0.0142453;0
1.20504e+09;1;0.0142835;0
1.20781e+09;1;0.0143218;0
1.2106e+09;1;0.0143603;0
1.21339e+09;1;0.0143989;0
1.21619e+09;1;0.0144376;0
1.21899e+09;1;0.0144764;0
1.2218e+09;1;0.0145154;0
1.22462e+09;1;0.0145545;0
1.22744e+09;1;0.0145937;0
1.23027e+09;1;0.0146331;0
1.2331e+09;1;0.0146726;0
1.23595e+09;1;0.0147123;0
1.2388e+09;1;0.0147521;0
1.24165e+09;1;0.014792;0
1.24451e+09;1;0.0148321;0
1.24738e+09;1;0.0148723;0
1.25026e+09;1;0.0149126;0
1.25314e+09;1;0.0149531;0
1.25603e+09;1;0.0149937;0
1.25893e+09;1;0.0150344;0
1.26183e+09;1;0.0150753;0
1.26474e+09;1;0.0151164;0
1.26765e+09;1;0.0151576;0
1.27057e+09;1;0.0151989;0
1.2735e+09;1;0.0152404;0
1.27644e+09;1;0.015282;0
1.27938e+09;1;0.0153238;0
1.28233e+09;1;0.0153657;0
1.28529e+09;1;0.0154078;0
1.28825e+09;1;0.01545;0
1.29122e+09;1;0.0154923;0
1.2942e+09;1;0.0155349;0
1.29718e+09;1;0.0155775;0
1.30017e+09;1;0.0156203;0
1.30317e+09;1;0.0156633;0
1.30617e+09;1;0.0157064;0
1.30918e+09;1;0.0157497;0
1.3122e+09;1;0.0157931;0
1.31522e+09;1;0.0158367;0
1.31826e+09;1;0.0158805;0
1.3213e+09;1;0.0159244;0
1.32434e+09;1;0.0159684;0
1.32739e+09;1;0.0160127;0
1.33045e+09;1;0.016057;0
1.33352e+09;1;0.0161016;0
1.3366e+09;1;0.0161463;0
1.33968e+09;1;0.0161912;0
1.34276e+09;1;0.0162362;0
1.34586e+09;1;0.0162814;0
1.34896e+09;1;0.0163267;0
1.35207e+09;1;0.0163723;0
1.35519e+09;1;0.016418;0
1.35831e+09;1;0.0164638;0
1.36144e+09;1;0.0165099;0
1.36458e+09;1;0.0165561;0
1.36773e+09;1;0.0166024;0
1.37088e+09;1;0.016649;0
1.37404e+09;1;0.0166957;0
1.37721e+09;1;0.0167426;0
1.38038e+09;1;0.0167897;0
1.38357e+09;1;0.0168369;0
1.38676e+09;1;0.0168843;0
1.38995e+09;1;0.0169319;0
1.39316e+09;1;0.0169797;0
1.39637e+09;1;0.0170276;0
1.39959e+09;1;0.0170758;0
1.40281e+09;1;0.0171241;0
1.40605e+09;1;0.0171726;0
1.40929e+09;1;0.0172213;0
1.41254e+09;1;0.0172702;0
1.41579e+09;1;0.0173192;0
1.41906e+09;1;0.0173685;0
1.42233e+09;1;0.0174179;0
1.42561e+09;1;0.0174675;0
1.42889e+09;1;0.0175173;0
1.43219e+09;1;0.0175673;0
1.43549e+09;1;0.0176175;0
1.4388e+09;1;0.0176679;0
1.44212e+09;1;0.0177185;0
1.44544e+09;1;0.0177693;0
1.44877e+09;1;0.0178203;0
1.45211e+09;1;0.0178714;0
1.45546e+09;1;0.0179228;0
1.45881e+09;1;0.0179744;0
1.46218e+09;1;0.0180262;0
1.46555e+09;1;0.0180782;0
1.46893e+09;1;0.0181303;0
1.47231e+09;1;0.0181827;0
1.47571e+09;1;0.0182353;0
1.47911e+09;1;0.0182881;0
