"acfrequency";"number";"r Ganho";"i Ganho"
1e+07;1;0.000432572;0
1.00693e+07;1;0.00043859;0
1.01391e+07;1;0.000444691;0
1.02094e+07;1;0.000450877;0
1.02802e+07;1;0.000457149;0
1.03514e+07;1;0.000463508;0
1.04232e+07;1;0.000469956;0
1.04954e+07;1;0.000476494;0
1.05682e+07;1;0.000483122;0
1.06414e+07;1;0.000489843;0
1.07152e+07;1;0.000496657;0
1.07895e+07;1;0.000503566;0
1.08643e+07;1;0.000510571;0
1.09396e+07;1;0.000517673;0
1.10154e+07;1;0.000524874;0
1.10917e+07;1;0.000532176;0
1.11686e+07;1;0.000539578;0
1.1246e+07;1;0.000547084;0
1.1324e+07;1;0.000554695;0
1.14025e+07;1;0.000562411;0
1.14815e+07;1;0.000570234;0
1.15611e+07;1;0.000578167;0
1.16413e+07;1;0.000586209;0
1.1722e+07;1;0.000594364;0
1.18032e+07;1;0.000602632;0
1.1885e+07;1;0.000611015;0
1.19674e+07;1;0.000619515;0
1.20504e+07;1;0.000628132;0
1.21339e+07;1;0.00063687;0
1.2218e+07;1;0.000645729;0
1.23027e+07;1;0.000654712;0
1.2388e+07;1;0.000663819;0
1.24738e+07;1;0.000673053;0
1.25603e+07;1;0.000682416;0
1.26474e+07;1;0.000691908;0
1.2735e+07;1;0.000701533;0
1.28233e+07;1;0.000711292;0
1.29122e+07;1;0.000721186;0
1.30017e+07;1;0.000731218;0
1.30918e+07;1;0.00074139;0
1.31826e+07;1;0.000751703;0
1.32739e+07;1;0.00076216;0
1.3366e+07;1;0.000772762;0
1.34586e+07;1;0.000783511;0
1.35519e+07;1;0.00079441;0
1.36458e+07;1;0.00080546;0
1.37404e+07;1;0.000816665;0
1.38357e+07;1;0.000828025;0
1.39316e+07;1;0.000839543;0
1.40281e+07;1;0.000851221;0
1.41254e+07;1;0.000863062;0
1.42233e+07;1;0.000875067;0
1.43219e+07;1;0.00088724;0
1.44212e+07;1;0.000899582;0
1.45211e+07;1;0.000912095;0
1.46218e+07;1;0.000924782;0
1.47231e+07;1;0.000937646;0
1.48252e+07;1;0.000950689;0
1.49279e+07;1;0.000963913;0
1.50314e+07;1;0.000977322;0
1.51356e+07;1;0.000990916;0
1.52405e+07;1;0.0010047;0
1.53462e+07;1;0.00101868;0
1.54525e+07;1;0.00103285;0
1.55597e+07;1;0.00104721;0
1.56675e+07;1;0.00106178;0
1.57761e+07;1;0.00107655;0
1.58855e+07;1;0.00109152;0
1.59956e+07;1;0.00110671;0
1.61065e+07;1;0.0011221;0
1.62181e+07;1;0.00113771;0
1.63305e+07;1;0.00115353;0
1.64437e+07;1;0.00116958;0
1.65577e+07;1;0.00118585;0
1.66725e+07;1;0.00120234;0
1.6788e+07;1;0.00121907;0
1.69044e+07;1;0.00123603;0
1.70216e+07;1;0.00125322;0
1.71396e+07;1;0.00127065;0
1.72584e+07;1;0.00128832;0
1.7378e+07;1;0.00130625;0
1.74985e+07;1;0.00132441;0
1.76198e+07;1;0.00134284;0
1.77419e+07;1;0.00136152;0
1.78649e+07;1;0.00138045;0
1.79887e+07;1;0.00139966;0
1.81134e+07;1;0.00141912;0
1.8239e+07;1;0.00143886;0
1.83654e+07;1;0.00145888;0
1.84927e+07;1;0.00147917;0
1.86209e+07;1;0.00149974;0
1.87499e+07;1;0.0015206;0
1.88799e+07;1;0.00154176;0
1.90108e+07;1;0.0015632;0
1.91426e+07;1;0.00158494;0
1.92752e+07;1;0.00160699;0
1.94089e+07;1;0.00162934;0
1.95434e+07;1;0.001652;0
1.96789e+07;1;0.00167498;0
1.98153e+07;1;0.00169828;0
1.99526e+07;1;0.0017219;0
2.00909e+07;1;0.00174585;0
2.02302e+07;1;0.00177014;0
2.03704e+07;1;0.00179476;0
2.05116e+07;1;0.00181972;0
2.06538e+07;1;0.00184503;0
2.0797e+07;1;0.00187069;0
2.09411e+07;1;0.00189671;0
2.10863e+07;1;0.00192309;0
2.12324e+07;1;0.00194984;0
2.13796e+07;1;0.00197696;0
2.15278e+07;1;0.00200446;0
2.1677e+07;1;0.00203234;0
2.18273e+07;1;0.00206061;0
2.19786e+07;1;0.00208927;0
2.21309e+07;1;0.00211833;0
2.22844e+07;1;0.00214779;0
2.24388e+07;1;0.00217766;0
2.25944e+07;1;0.00220795;0
2.2751e+07;1;0.00223866;0
2.29087e+07;1;0.0022698;0
2.30675e+07;1;0.00230137;0
2.32274e+07;1;0.00233338;0
2.33884e+07;1;0.00236583;0
2.35505e+07;1;0.00239873;0
2.37137e+07;1;0.0024321;0
