"acfrequency";"number";"r Zin";"i Zin"
1e+09;1;0.3711;-32.1035
1.00231e+09;1;0.3711;-32.0215
1.00462e+09;1;0.3711;-31.9398
1.00693e+09;1;0.3711;-31.8582
1.00925e+09;1;0.3711;-31.7767
1.01158e+09;1;0.3711;-31.6955
1.01391e+09;1;0.3711;-31.6144
1.01625e+09;1;0.3711;-31.5334
1.01859e+09;1;0.3711;-31.4527
1.02094e+09;1;0.3711;-31.3721
1.02329e+09;1;0.3711;-31.2917
1.02565e+09;1;0.3711;-31.2114
1.02802e+09;1;0.3711;-31.1313
1.03039e+09;1;0.3711;-31.0514
1.03276e+09;1;0.3711;-30.9716
1.03514e+09;1;0.3711;-30.892
1.03753e+09;1;0.3711;-30.8126
1.03992e+09;1;0.3711;-30.7333
1.04232e+09;1;0.3711;-30.6542
1.04472e+09;1;0.3711;-30.5753
1.04713e+09;1;0.3711;-30.4965
1.04954e+09;1;0.3711;-30.4179
1.05196e+09;1;0.3711;-30.3394
1.05439e+09;1;0.3711;-30.2611
1.05682e+09;1;0.3711;-30.1829
1.05925e+09;1;0.3711;-30.105
1.0617e+09;1;0.3711;-30.0271
1.06414e+09;1;0.3711;-29.9495
1.0666e+09;1;0.3711;-29.872
1.06905e+09;1;0.3711;-29.7946
1.07152e+09;1;0.3711;-29.7174
1.07399e+09;1;0.3711;-29.6404
1.07647e+09;1;0.3711;-29.5635
1.07895e+09;1;0.3711;-29.4868
1.08143e+09;1;0.3711;-29.4103
1.08393e+09;1;0.3711;-29.3339
1.08643e+09;1;0.3711;-29.2576
1.08893e+09;1;0.3711;-29.1815
1.09144e+09;1;0.3711;-29.1056
1.09396e+09;1;0.3711;-29.0298
1.09648e+09;1;0.3711;-28.9542
1.09901e+09;1;0.3711;-28.8787
1.10154e+09;1;0.3711;-28.8034
1.10408e+09;1;0.3711;-28.7282
1.10662e+09;1;0.3711;-28.6532
1.10917e+09;1;0.3711;-28.5783
1.11173e+09;1;0.3711;-28.5036
1.11429e+09;1;0.3711;-28.429
1.11686e+09;1;0.3711;-28.3546
1.11944e+09;1;0.3711;-28.2804
1.12202e+09;1;0.3711;-28.2063
1.1246e+09;1;0.3711;-28.1323
1.1272e+09;1;0.3711;-28.0585
1.1298e+09;1;0.3711;-27.9848
1.1324e+09;1;0.3711;-27.9113
1.13501e+09;1;0.3711;-27.8379
1.13763e+09;1;0.3711;-27.7647
1.14025e+09;1;0.3711;-27.6916
1.14288e+09;1;0.3711;-27.6187
1.14551e+09;1;0.3711;-27.5459
1.14815e+09;1;0.3711;-27.4733
1.1508e+09;1;0.3711;-27.4008
1.15345e+09;1;0.3711;-27.3285
1.15611e+09;1;0.3711;-27.2563
1.15878e+09;1;0.3711;-27.1842
1.16145e+09;1;0.3711;-27.1123
1.16413e+09;1;0.3711;-27.0405
1.16681e+09;1;0.3711;-26.9689
1.1695e+09;1;0.3711;-26.8974
1.1722e+09;1;0.3711;-26.8261
1.1749e+09;1;0.3711;-26.7549
1.17761e+09;1;0.3711;-26.6838
1.18032e+09;1;0.3711;-26.6129
1.18304e+09;1;0.3711;-26.5422
1.18577e+09;1;0.3711;-26.4715
1.1885e+09;1;0.3711;-26.401
1.19124e+09;1;0.3711;-26.3307
1.19399e+09;1;0.3711;-26.2605
1.19674e+09;1;0.3711;-26.1904
1.1995e+09;1;0.3711;-26.1205
1.20226e+09;1;0.3711;-26.0507
1.20504e+09;1;0.3711;-25.981
1.20781e+09;1;0.3711;-25.9115
1.2106e+09;1;0.3711;-25.8421
1.21339e+09;1;0.3711;-25.7729
1.21619e+09;1;0.3711;-25.7038
1.21899e+09;1;0.3711;-25.6348
1.2218e+09;1;0.3711;-25.566
1.22462e+09;1;0.3711;-25.4973
1.22744e+09;1;0.3711;-25.4287
1.23027e+09;1;0.3711;-25.3603
1.2331e+09;1;0.3711;-25.292
1.23595e+09;1;0.3711;-25.2238
1.2388e+09;1;0.3711;-25.1558
1.24165e+09;1;0.3711;-25.0879
1.24451e+09;1;0.3711;-25.0201
1.24738e+09;1;0.3711;-24.9525
1.25026e+09;1;0.3711;-24.885
1.25314e+09;1;0.3711;-24.8177
1.25603e+09;1;0.3711;-24.7504
1.25893e+09;1;0.3711;-24.6833
1.26183e+09;1;0.3711;-24.6164
1.26474e+09;1;0.3711;-24.5495
1.26765e+09;1;0.3711;-24.4828
1.27057e+09;1;0.3711;-24.4162
1.2735e+09;1;0.3711;-24.3498
1.27644e+09;1;0.3711;-24.2835
1.27938e+09;1;0.3711;-24.2173
1.28233e+09;1;0.3711;-24.1512
1.28529e+09;1;0.3711;-24.0853
1.28825e+09;1;0.3711;-24.0195
1.29122e+09;1;0.3711;-23.9538
1.2942e+09;1;0.3711;-23.8882
1.29718e+09;1;0.3711;-23.8228
1.30017e+09;1;0.3711;-23.7575
1.30317e+09;1;0.3711;-23.6923
1.30617e+09;1;0.3711;-23.6273
1.30918e+09;1;0.3711;-23.5623
1.3122e+09;1;0.3711;-23.4976
1.31522e+09;1;0.3711;-23.4329
1.31826e+09;1;0.3711;-23.3683
1.3213e+09;1;0.3711;-23.3039
1.32434e+09;1;0.3711;-23.2396
1.32739e+09;1;0.3711;-23.1754
1.33045e+09;1;0.3711;-23.1114
1.33352e+09;1;0.3711;-23.0474
1.3366e+09;1;0.3711;-22.9836
1.33968e+09;1;0.3711;-22.9199
1.34276e+09;1;0.3711;-22.8564
1.34586e+09;1;0.3711;-22.7929
1.34896e+09;1;0.3711;-22.7296
1.35207e+09;1;0.3711;-22.6664
1.35519e+09;1;0.3711;-22.6033
1.35831e+09;1;0.3711;-22.5403
1.36144e+09;1;0.3711;-22.4775
1.36458e+09;1;0.3711;-22.4148
1.36773e+09;1;0.3711;-22.3521
1.37088e+09;1;0.3711;-22.2897
1.37404e+09;1;0.3711;-22.2273
1.37721e+09;1;0.3711;-22.165
1.38038e+09;1;0.3711;-22.1029
1.38357e+09;1;0.3711;-22.0409
1.38676e+09;1;0.3711;-21.979
1.38995e+09;1;0.3711;-21.9172
1.39316e+09;1;0.3711;-21.8555
1.39637e+09;1;0.3711;-21.794
1.39959e+09;1;0.3711;-21.7325
1.40281e+09;1;0.3711;-21.6712
1.40605e+09;1;0.3711;-21.61
1.40929e+09;1;0.3711;-21.5489
1.41254e+09;1;0.3711;-21.4879
1.41579e+09;1;0.3711;-21.4271
