"acfrequency";"r Z";"i Z"
5e+07;1.3559;1.0446
5.01153e+07;1.356;1.047
5.02308e+07;1.3561;1.04942
5.03466e+07;1.35621;1.05183
5.04627e+07;1.35631;1.05426
5.0579e+07;1.35642;1.05668
5.06956e+07;1.35652;1.05912
5.08125e+07;1.35663;1.06156
5.09296e+07;1.35674;1.064
5.1047e+07;1.35684;1.06645
5.11647e+07;1.35695;1.06891
5.12826e+07;1.35706;1.07137
5.14008e+07;1.35717;1.07384
5.15193e+07;1.35728;1.07631
5.16381e+07;1.35739;1.07879
5.17571e+07;1.3575;1.08128
5.18765e+07;1.35761;1.08377
5.19961e+07;1.35772;1.08626
5.21159e+07;1.35783;1.08877
5.22361e+07;1.35795;1.09127
5.23565e+07;1.35806;1.09379
5.24772e+07;1.35817;1.09631
5.25982e+07;1.35829;1.09883
5.27194e+07;1.3584;1.10136
5.28409e+07;1.35852;1.1039
5.29628e+07;1.35863;1.10644
5.30849e+07;1.35875;1.10899
5.32072e+07;1.35886;1.11155
5.33299e+07;1.35898;1.11411
5.34528e+07;1.3591;1.11667
5.35761e+07;1.35922;1.11924
5.36996e+07;1.35934;1.12182
5.38234e+07;1.35946;1.12441
5.39474e+07;1.35958;1.127
5.40718e+07;1.3597;1.12959
5.41964e+07;1.35982;1.13219
5.43214e+07;1.35994;1.1348
5.44466e+07;1.36006;1.13741
5.45721e+07;1.36018;1.14003
5.46979e+07;1.36031;1.14266
5.4824e+07;1.36043;1.14529
5.49504e+07;1.36056;1.14793
5.50771e+07;1.36068;1.15057
5.52041e+07;1.36081;1.15322
5.53313e+07;1.36093;1.15588
5.54589e+07;1.36106;1.15854
5.55867e+07;1.36119;1.16121
5.57149e+07;1.36131;1.16388
5.58433e+07;1.36144;1.16656
5.5972e+07;1.36157;1.16925
5.61011e+07;1.3617;1.17194
5.62304e+07;1.36183;1.17464
5.636e+07;1.36196;1.17735
5.649e+07;1.36209;1.18006
5.66202e+07;1.36223;1.18278
5.67507e+07;1.36236;1.1855
5.68815e+07;1.36249;1.18823
5.70127e+07;1.36263;1.19097
5.71441e+07;1.36276;1.19371
5.72758e+07;1.3629;1.19646
5.74079e+07;1.36303;1.19922
