"acfrequency";"r Z";"i Z"
5e+07;-0.174982;-2.86752
5.01153e+07;-0.175376;-2.8741
5.02308e+07;-0.175773;-2.88069
5.03466e+07;-0.175841;-2.88453
5.04627e+07;-0.176487;-2.89393
5.0579e+07;-0.176847;-2.90057
5.06956e+07;-0.177253;-2.90722
5.08125e+07;-0.177456;-2.91108
5.09296e+07;-0.178071;-2.92057
5.1047e+07;-0.178277;-2.92445
5.11647e+07;-0.178811;-2.93399
5.12826e+07;-0.178975;-2.93789
5.14008e+07;-0.179394;-2.94463
5.15193e+07;-0.179815;-2.95138
5.16381e+07;-0.180449;-2.96099
5.17571e+07;-0.180787;-2.96779
5.18765e+07;-0.181429;-2.97746
5.19961e+07;-0.181647;-2.98141
5.21159e+07;-0.182035;-2.98825
5.22361e+07;-0.182211;-2.99222
5.23565e+07;-0.182603;-2.99909
5.24772e+07;-0.183478;-3.01175
5.25982e+07;-0.183748;-3.01574
5.27194e+07;-0.184058;-3.02268
5.28409e+07;-0.184286;-3.02669
5.29628e+07;-0.184911;-3.03655
5.30849e+07;-0.18541;-3.0435
5.32072e+07;-0.185505;-3.04756
5.33299e+07;-0.185962;-3.05455
5.34528e+07;-0.186376;-3.06155
5.35761e+07;-0.187381;-3.07446
5.36996e+07;-0.187529;-3.07855
5.38234e+07;-0.188178;-3.08858
5.39474e+07;-0.188421;-3.09268
5.40718e+07;-0.189124;-3.10275
5.41964e+07;-0.189324;-3.10687
5.43214e+07;-0.189755;-3.114
5.44466e+07;-0.19019;-3.12114
5.45721e+07;-0.190626;-3.12829
5.46979e+07;-0.191113;-3.13546
5.4824e+07;-0.191508;-3.14265
5.49504e+07;-0.191952;-3.14986
5.50771e+07;-0.192399;-3.15708
5.52041e+07;-0.19261;-3.16127
5.53313e+07;-0.193253;-3.17157
5.54589e+07;-0.194091;-3.18188
5.55867e+07;-0.194018;-3.18305
5.57149e+07;-0.194672;-3.19342
5.58433e+07;-0.19523;-3.20073
5.5972e+07;-0.195403;-3.20498
5.61011e+07;-0.195918;-3.21232
5.62304e+07;-0.196881;-3.22588
5.636e+07;-0.197107;-3.23017
5.649e+07;-0.197286;-3.23446
5.66202e+07;-0.197812;-3.24186
5.67507e+07;-0.198641;-3.2524
5.68815e+07;-0.19928;-3.26301
5.70127e+07;-0.199213;-3.26421
5.71441e+07;-0.200053;-3.27482
5.72758e+07;-0.231207;-3.27973
5.74079e+07;-0.232071;-3.29038
5.75402e+07;-0.262268;-3.28745
5.76729e+07;-0.232651;-3.30232
5.78058e+07;-0.233203;-3.30988
5.79391e+07;-0.23366;-3.31747
5.80726e+07;-0.264277;-3.31767
5.82065e+07;-0.264836;-3.32526
5.83407e+07;-0.265349;-3.33287
5.84752e+07;-0.235713;-3.34796
5.861e+07;-0.236464;-3.35886
5.87451e+07;-0.236757;-3.36331
5.88805e+07;-0.237233;-3.37102
5.90163e+07;-0.238097;-3.38198
5.91523e+07;-0.268485;-3.37892
5.92887e+07;-0.268918;-3.38668
5.94253e+07;-0.269605;-3.3944
5.95623e+07;-0.240199;-3.41306
5.96996e+07;-0.240455;-3.41759
5.98373e+07;-0.241054;-3.4254
5.99752e+07;-0.241502;-3.43326
6.01135e+07;-0.242107;-3.44111
6.02521e+07;-0.242907;-3.45231
6.0391e+07;-0.243121;-3.45689
6.05302e+07;-0.273852;-3.45708
6.06697e+07;-0.244497;-3.47608
6.08096e+07;-0.24482;-3.48068
6.09498e+07;-0.245693;-3.49199
6.10903e+07;-0.245916;-3.49663
6.12311e+07;-0.246694;-3.50802
6.13723e+07;-0.247078;-3.51265
6.15137e+07;-0.247916;-3.52408
6.16555e+07;-0.248506;-3.53214
6.17977e+07;-0.2491;-3.54022
6.19401e+07;-0.249334;-3.54492
6.20829e+07;-0.24988;-3.55303
6.2226e+07;-0.25074;-3.56459
6.23695e+07;-0.251294;-3.57275
6.25133e+07;-0.251642;-3.57748
6.26574e+07;-0.25257;-3.5891
6.28018e+07;-0.253745;-3.60248
6.29466e+07;-0.253381;-3.60209
6.30917e+07;-0.254377;-3.61379
6.32372e+07;-0.254575;-3.61859
6.33829e+07;-0.255258;-3.62685
6.35291e+07;-0.255837;-3.63515
6.36755e+07;-0.256364;-3.64348
6.38223e+07;-0.257004;-3.65181
6.39694e+07;-0.257647;-3.66016
6.41169e+07;-0.258568;-3.67206
6.42647e+07;-0.259165;-3.68046
6.44129e+07;-0.25982;-3.68887
6.45613e+07;-0.260534;-3.69729
6.47102e+07;-0.261086;-3.70576
6.48594e+07;-0.322298;-3.70305
6.50089e+07;-0.293526;-3.72513
6.51587e+07;-0.293591;-3.72829
6.53089e+07;-0.324141;-3.72852
6.54595e+07;-0.324873;-3.73703
6.56104e+07;-0.295519;-3.75392
6.57617e+07;-0.296262;-3.76249
6.59133e+07;-0.296785;-3.77111
6.60652e+07;-0.29748;-3.77973
6.62175e+07;-0.298122;-3.78837
6.63702e+07;-0.328789;-3.78857
6.65232e+07;-0.300107;-3.81116
6.66765e+07;-0.300071;-3.81441
6.68302e+07;-0.300729;-3.82313
6.69843e+07;-0.331456;-3.82333
6.71387e+07;-0.302168;-3.84061
6.72935e+07;-0.332841;-3.84081
6.74486e+07;-0.303509;-3.85818
6.76041e+07;-0.334069;-3.85841
6.77599e+07;-0.304865;-3.87584
6.79162e+07;-0.305549;-3.88469
6.80727e+07;-0.306237;-3.89357
6.82296e+07;-0.3368;-3.8938
6.83869e+07;-0.307508;-3.91141
6.85446e+07;-0.338421;-3.91157
6.87026e+07;-0.338888;-3.92055
6.8861e+07;-0.310407;-3.9439
6.90197e+07;-0.310564;-3.94722
6.91788e+07;-0.311162;-3.95626
6.93383e+07;-0.312443;-3.97101
6.94982e+07;-0.313169;-3.98008
6.96584e+07;-0.343292;-3.97456
6.9819e+07;-0.314064;-3.99253
6.99799e+07;-0.314919;-4.00162
7.01412e+07;-0.34549;-4.00185
7.03029e+07;-0.346112;-4.01101
7.0465e+07;-0.316913;-4.02914
7.06274e+07;-0.318368;-4.04412
7.07903e+07;-0.318542;-4.04753
7.09534e+07;-0.319891;-4.06261
7.1117e+07;-0.32019;-4.066
7.1281e+07;-0.320839;-4.07531
7.14453e+07;-0.351416;-4.07554
7.161e+07;-0.323112;-4.09979
7.17751e+07;-0.383838;-4.09487
7.19405e+07;-0.384622;-4.10421
7.21064e+07;-0.35442;-4.11289
7.22726e+07;-0.386081;-4.12299
7.24392e+07;-0.387001;-4.13237
7.26062e+07;-0.358195;-4.15301
7.27736e+07;-0.359006;-4.16248
7.29413e+07;-0.38942;-4.16071
7.31095e+07;-0.390112;-4.17022
7.3278e+07;-0.390932;-4.17973
7.3447e+07;-0.391757;-4.18926
7.36163e+07;-0.363005;-4.21018
7.3786e+07;-0.363843;-4.21978
7.39561e+07;-0.394133;-4.21801
7.41266e+07;-0.365409;-4.23907
7.42975e+07;-0.366387;-4.2487
7.44687e+07;-0.396675;-4.24692
7.46404e+07;-0.397406;-4.25663
7.48125e+07;-0.36872;-4.27787
7.49849e+07;-0.369995;-4.29174
7.51578e+07;-0.370467;-4.29739
7.53311e+07;-0.369746;-4.29487
7.55047e+07;-0.370626;-4.30465
7.56788e+07;-0.372997;-4.32686
7.58532e+07;-0.373892;-4.33672
7.60281e+07;-0.404306;-4.33486
7.62034e+07;-0.40495;-4.34479
7.6379e+07;-0.376609;-4.36641
7.65551e+07;-0.406765;-4.36461
7.67316e+07;-0.40768;-4.37454
7.69085e+07;-0.379111;-4.39637
7.70858e+07;-0.379911;-4.40641
7.72635e+07;-0.410325;-4.40452
7.74416e+07;-0.381787;-4.42649
7.76201e+07;-0.41207;-4.42463
7.77991e+07;-0.383552;-4.44669
7.79784e+07;-0.413835;-4.44482
7.81582e+07;-0.41479;-4.45494
7.83384e+07;-0.446931;-4.46797
7.8519e+07;-0.416718;-4.47523
7.87e+07;-0.41769;-4.48541
7.88814e+07;-0.449719;-4.49856
7.90632e+07;-0.419516;-4.50588
7.92455e+07;-0.45156;-4.51908
7.94282e+07;-0.452555;-4.52936
7.96113e+07;-0.453556;-4.53966
7.97948e+07;-0.423096;-4.5471
7.99788e+07;-0.424105;-4.55744
8.01631e+07;-0.42512;-4.5678
8.03479e+07;-0.457343;-4.58115
8.05332e+07;-0.458099;-4.59163
8.07188e+07;-0.429767;-4.61225
8.09049e+07;-0.460034;-4.61256
8.10914e+07;-0.429731;-4.62008
8.12783e+07;-0.430642;-4.63061
8.14657e+07;-0.431832;-4.6411
8.16535e+07;-0.464108;-4.65466
8.18418e+07;-0.465313;-4.6652
8.20304e+07;-0.46611;-4.67587
