frequency;r S[1,1];i S[1,1];;;;;;
1,00E+09;0.0961622;-0.28909;0.0961622;-0.28909;0.0961622;-0.28909;0.0961622;-0.28909
1,02E+14;0.0928818;-0.284431;0.0961623;-0.28910;0.0961623;-0.28910;0.0961623;-0.28910
1,04E+14;0.0897499;-0.279874;0.0961624;-0.28911;0.0961624;-0.28911;0.0961624;-0.28911
1,05E+14;0.0867579;-0.275417;0.0961625;-0.28912;0.0961625;-0.28912;0.0961625;-0.28912
1,07E+14;0.0838981;-0.271057;0.0961626;-0.28913;0.0961626;-0.28913;0.0961626;-0.28913
1,09E+14;0.081163;-0.266793;0.0961627;-0.28914;0.0961627;-0.28914;0.0961627;-0.28914
1,11E+14;0.0785458;-0.26262;0.0961628;-0.28915;0.0961628;-0.28915;0.0961628;-0.28915
1,13E+14;0.0760401;-0.258538;0.0961629;-0.28916;0.0961629;-0.28916;0.0961629;-0.28916
1,14E+14;0.0736399;-0.254543;0.0961630;-0.28917;0.0961630;-0.28917;0.0961630;-0.28917
1,16E+14;0.0713396;-0.250633;0.0961631;-0.28918;0.0961631;-0.28918;0.0961631;-0.28918
1,18E+14;0.0691339;-0.246805;0.0961632;-0.28919;0.0961632;-0.28919;0.0961632;-0.28919
1,20E+13;0.067018;-0.243058;0.0961633;-0.28920;0.0961633;-0.28920;0.0961633;-0.28920
1,22E+14;0.0649871;-0.239388;0.0961634;-0.28921;0.0961634;-0.28921;0.0961634;-0.28921
1,23E+14;0.063037;-0.235795;0.0961635;-0.28922;0.0961635;-0.28922;0.0961635;-0.28922
1,25E+14;0.0611636;-0.232275;0.0961636;-0.28923;0.0961636;-0.28923;0.0961636;-0.28923
1,27E+14;0.0593631;-0.228826;0.0961637;-0.28924;0.0961637;-0.28924;0.0961637;-0.28924
1,29E+14;0.0576318;-0.225447;0.0961638;-0.28925;0.0961638;-0.28925;0.0961638;-0.28925
1,31E+14;0.0559665;-0.222135;0.0961639;-0.28926;0.0961639;-0.28926;0.0961639;-0.28926
1,32E+14;0.0543639;-0.218888;0.0961640;-0.28927;0.0961640;-0.28927;0.0961640;-0.28927
1,34E+14;0.052821;-0.215706;0.0961641;-0.28928;0.0961641;-0.28928;0.0961641;-0.28928
1,36E+14;0.051335;-0.212585;0.0961642;-0.28929;0.0961642;-0.28929;0.0961642;-0.28929
1,38E+14;0.0499032;-0.209524;0.0961643;-0.28930;0.0961643;-0.28930;0.0961643;-0.28930
1,40E+14;0.0485232;-0.206521;0.0961644;-0.28931;0.0961644;-0.28931;0.0961644;-0.28931
1,41E+14;0.0471926;-0.203575;0.0961645;-0.28932;0.0961645;-0.28932;0.0961645;-0.28932
